uid,row_id,cell,source_group,first_error_step_1based,steps,gate_open,all32_miss,iu__ridge+tcn+bocpd,equal__ridge+tcn+bocpd,iu__ridge+tcn+noreset,equal__ridge+tcn+noreset,iu__ridge+tcn+mean16,equal__ridge+tcn+mean16,iu__ridge+bocpd+noreset,equal__ridge+bocpd+noreset,iu__ridge+bocpd+mean16,equal__ridge+bocpd+mean16,iu__ridge+noreset+mean16,equal__ridge+noreset+mean16,iu__tcn+bocpd+noreset,equal__tcn+bocpd+noreset,iu__tcn+bocpd+mean16,equal__tcn+bocpd+mean16,iu__tcn+noreset+mean16,equal__tcn+noreset+mean16,iu__bocpd+noreset+mean16,equal__bocpd+noreset+mean16,iu__ridge+tcn+bocpd+noreset,equal__ridge+tcn+bocpd+noreset,iu__ridge+tcn+bocpd+mean16,equal__ridge+tcn+bocpd+mean16,iu__ridge+tcn+noreset+mean16,equal__ridge+tcn+noreset+mean16,iu__ridge+bocpd+noreset+mean16,equal__ridge+bocpd+noreset+mean16,iu__tcn+bocpd+noreset+mean16,equal__tcn+bocpd+noreset+mean16,iu__ridge+tcn+bocpd+noreset+mean16,equal__ridge+tcn+bocpd+noreset+mean16,tcn__real,ridge,bocpd,innovation5
pb_math_q4__c8d70c08fe6b9105,math::math-472,pb_math_q4,pb_source_v2:10ba1f2949f72030c604fbe2,7,9,True,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pb_math_q4__c0edf1e26e28280f,math::math-473,pb_math_q4,pb_source_v2:0de0df213a7dda6eda6ca41e,1,3,False,True,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN
pb_math_q4__0e43fd75f4473ac4,math::math-474,pb_math_q4,pb_source_v2:cba416c836dbc3496699427e,3,7,True,True,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
pb_math_q4__be11e7142facec2f,math::math-475,pb_math_q4,pb_source_v2:ffe54da69a4fbccd1c470630,4,6,True,True,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
pb_math_q4__2418af1aeda604ab,math::math-476,pb_math_q4,pb_source_v2:90c80df52174376b8efc404d,4,4,True,True,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_math_q4__a14cc789117b4c2d,math::math-477,pb_math_q4,pb_source_v2:1026c4f00bebcd0fa565550e,1,6,True,False,3,3,3,3,3,3,3,3,1,1,3,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3
pb_math_q4__86116bf9d322dd3f,math::math-478,pb_math_q4,pb_source_v2:b3d9bf2e08a821ee2d5d6ed2,3,6,True,True,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
pb_math_q4__3d6db3f3886e05c3,math::math-479,pb_math_q4,pb_source_v2:9e4f947e6ac43c81ccf270b8,4,9,True,True,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_math_q4__878d9751849329b0,math::math-48,pb_math_q4,pb_source_v2:3de80f85c7a498ed3c74dcc0,2,4,True,False,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_math_q4__67d4009530e3196f,math::math-480,pb_math_q4,pb_source_v2:d95e8eef29f566fe4b1260a7,2,5,True,False,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_math_q4__bc2df97e7ae404af,math::math-481,pb_math_q4,pb_source_v2:f34e7e10994ca623a1f63422,11,16,True,True,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
pb_math_q4__422f1104b43013c1,math::math-482,pb_math_q4,pb_source_v2:cc4b9570be5214aafdaae486,4,10,True,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
pb_math_q4__39452fd0ea0899f8,math::math-483,pb_math_q4,pb_source_v2:073e0f5d4a22a31d4a354d94,4,5,True,False,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
pb_math_q4__e602926ed66b265d,math::math-484,pb_math_q4,pb_source_v2:2df7026c30e0133db6b69293,2,9,False,True,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN
pb_math_q4__2e287ccc00574c43,math::math-485,pb_math_q4,prmb_source_v2:e2993694f9f2850d97625b59,4,5,True,True,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_math_q4__364bcacee9ab0d15,math::math-486,pb_math_q4,pb_source_v2:03ecad8c3f07bb822b76d9d4,3,4,True,False,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_math_q4__4b9407402273b79e,math::math-487,pb_math_q4,pb_source_v2:7ea7c19d7d09413837ed9f1f,2,3,False,True,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN
pb_math_q4__273fd835f0125850,math::math-488,pb_math_q4,prmb_source_v2:4031223943461e7c61af835e,2,4,True,True,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
pb_math_q4__d47c9b9aee562759,math::math-489,pb_math_q4,pb_source_v2:716c0fc22ee16a117b62027b,3,4,False,True,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN
pb_math_q4__3d42ee794dc8cd62,math::math-49,pb_math_q4,pb_source_v2:28631b45689f06ed8090f5b7,3,5,True,True,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5
pb_math_q4__48e200b6f10ea372,math::math-490,pb_math_q4,pb_source_v2:01ff6fd8e5008344ec60489b,2,5,True,False,3,2,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,2,3
pb_math_q4__c3a163746597a758,math::math-491,pb_math_q4,pb_source_v2:bd27a95bdde1a5a7bf28c63c,3,5,True,True,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
pb_math_q4__0d537d60eadc5cdd,math::math-492,pb_math_q4,pb_source_v2:91f2f9d31fc280bfa402fe75,1,11,True,True,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
pb_math_q4__92ff30ff528a27ad,math::math-493,pb_math_q4,pb_source_v2:c4af92bf4d3d000a98d44373,1,15,True,True,9,9,9,8,9,9,9,7,7,7,7,7,9,8,7,7,7,7,7,7,9,8,9,7,9,7,7,7,7,7,7,7,8,9,7,12
pb_math_q4__f872a3ab16f5cbc4,math::math-494,pb_math_q4,pb_source_v2:4aa33364ead25bad6f3adb3b,1,8,True,True,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
pb_math_q4__b48487330c0ce451,math::math-495,pb_math_q4,pb_source_v2:aa427e4a98dc48e90927d3d7,2,11,True,True,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
pb_math_q4__daf843bf8d5b06a5,math::math-496,pb_math_q4,pb_source_v2:ae6ce4647bebdefbf8eb5457,3,6,True,False,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_math_q4__c6a6aea7e7c2348c,math::math-497,pb_math_q4,pb_source_v2:f85d50ae8a5c6481f257d8a4,4,8,True,False,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
pb_math_q4__8ac62275ca750dbd,math::math-498,pb_math_q4,pb_source_v2:6045e8e381f57060df2f3238,1,3,False,True,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN
pb_math_q4__06e7e96677f073ec,math::math-499,pb_math_q4,pb_source_v2:bb3b9107cde559e9782b2767,4,8,True,True,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
pb_math_q4__02069168baafdfb1,math::math-5,pb_math_q4,pb_source_v2:3184536f01d630f833f7f71a,5,6,False,True,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN
pb_math_q4__20e70539fb699403,math::math-50,pb_math_q4,pb_source_v2:9c34bba4ec141919b04aa055,3,9,True,True,9,9,9,9,9,9,9,9,7,7,9,9,9,9,7,7,9,9,7,7,9,9,9,9,9,9,7,9,7,9,9,9,9,9,7,9
pb_math_q4__74a5611fcfedebd6,math::math-501,pb_math_q4,pb_source_v2:2b81848a015c1cbabd24af25,3,7,True,False,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_math_q4__531c9bfcfa94b185,math::math-509,pb_math_q4,pb_source_v2:99417f8358af44cd6d26e6aa,3,4,False,True,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN
pb_math_q4__f655316f3c7c9090,math::math-51,pb_math_q4,pb_source_v2:5932169135a7e725633df2a3,4,9,True,False,4,4,4,9,4,4,4,9,4,4,9,9,9,9,9,9,9,9,4,9,4,9,4,4,9,9,9,9,9,9,9,9,4,4,4,9
pb_math_q4__0811e40d8f09ee96,math::math-513,pb_math_q4,pb_source_v2:fcda8e2d2e9cf20b3dd90c05,1,15,True,True,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
pb_math_q4__f19774f464a47f2c,math::math-52,pb_math_q4,pb_source_v2:cd3ce3db8c9d83c842a491fc,2,5,True,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pb_math_q4__d4457c7bf096d31b,math::math-520,pb_math_q4,pb_source_v2:898eb2e52d34e34da72ccd07,4,11,True,False,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
pb_math_q4__8d6fab22067d150e,math::math-522,pb_math_q4,pb_source_v2:d81f013d787fb7e3a67a5af6,2,12,False,True,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN
pb_math_q4__f24a157622d15f08,math::math-526,pb_math_q4,pb_source_v2:24f8ee46d5f8c45646080f55,3,7,True,False,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_math_q4__fc5c2f72d66e7b57,math::math-53,pb_math_q4,pb_source_v2:bb12e6e6aeadd71c329cabf7,2,6,True,True,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
pb_math_q4__55aa3dbfb9c7316d,math::math-530,pb_math_q4,pb_source_v2:7a5fe2d924c746bd4a81b8d9,2,3,True,False,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_math_q4__10f63d7396b3cce5,math::math-533,pb_math_q4,pb_source_v2:747f6b2e4993cfafd0942c5f,1,6,True,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pb_math_q4__7c11a4772f001e61,math::math-537,pb_math_q4,pb_source_v2:394f838b16e1e4e147a1759c,2,4,True,False,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_math_q4__6a1c991b88c84386,math::math-54,pb_math_q4,pb_source_v2:5d3eaa82f0ad2b92a0841fe5,1,2,True,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pb_math_q4__b77c21ab0b1c5a6f,math::math-540,pb_math_q4,pb_source_v2:ca02eda69ca48ced539f8c86,1,3,True,True,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_math_q4__caa58afe5ad4c28b,math::math-542,pb_math_q4,pb_source_v2:f90a514d9da6bb127bd59b5b,3,5,True,False,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_math_q4__b3ee8d39ff688a93,math::math-546,pb_math_q4,pb_source_v2:86eb4ebdb33d20218f27615e,4,4,True,False,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
pb_math_q4__ef23154e86e87bfe,math::math-547,pb_math_q4,pb_source_v2:d47abdc3f445528d6276a01d,2,5,True,True,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
pb_math_q4__8c3038d9a3d16a85,math::math-55,pb_math_q4,pb_source_v2:d7301aa1a2b85a2cbcab30a3,4,7,True,True,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
pb_math_q4__eb49ca157417208d,math::math-550,pb_math_q4,prmb_source_v2:7864c26eb6aaa92a64b05a63,4,5,True,False,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
pb_math_q4__6455a4ac1446f64e,math::math-556,pb_math_q4,pb_source_v2:d79c9241a2c93519245bebe5,3,8,True,False,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,3,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3
pb_math_q4__baa8a59a1d6cce6d,math::math-56,pb_math_q4,pb_source_v2:72c32b791fd2686715393e09,1,3,True,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pb_math_q4__7c5e3e2ecd9a9f44,math::math-561,pb_math_q4,pb_source_v2:96f170213f0dc14b07ed6eb4,2,5,True,False,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_math_q4__2ab18d499ef8bc3e,math::math-563,pb_math_q4,pb_source_v2:d7301aa1a2b85a2cbcab30a3,3,5,True,True,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
pb_math_q4__77a5b349fc259b51,math::math-565,pb_math_q4,pb_source_v2:da83086bcc1a952ab15568c5,1,5,True,True,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_math_q4__a19d31505dc6b3ff,math::math-567,pb_math_q4,prmb_source_v2:e6a767552a9d0dec275856b9,2,5,True,False,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_math_q4__d1ce091900646adf,math::math-568,pb_math_q4,pb_source_v2:775fac4bc09f66d0fd5482de,4,6,True,True,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_math_q4__2c612603def3796d,math::math-569,pb_math_q4,pb_source_v2:62b1ba81b5ede2fe2cecd406,3,4,True,True,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_math_q4__0020bc2434df42e4,math::math-57,pb_math_q4,pb_source_v2:e4fad4705b1596f8149c209e,3,8,True,True,6,6,6,6,6,6,6,6,4,4,4,4,6,6,4,4,4,4,4,4,6,6,6,6,6,4,4,4,4,4,4,4,6,6,4,6
pb_math_q4__1505f3cfb248eb78,math::math-575,pb_math_q4,pb_source_v2:f4da2b7744b5b2e9a933d03b,4,7,True,True,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
pb_math_q4__45fd681e8793e8d2,math::math-577,pb_math_q4,pb_source_v2:8b68ba1ed9f50fd8efc0fc2b,4,11,True,True,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
pb_math_q4__fe557a064938f31f,math::math-579,pb_math_q4,pb_source_v2:d4b549c0bfc69f158a7321f3,7,13,True,False,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12
pb_math_q4__b7ba327530570671,math::math-58,pb_math_q4,pb_source_v2:2e089a602473df4cd77ced3a,1,4,True,True,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_math_q4__15c088624d28960e,math::math-583,pb_math_q4,pb_source_v2:d09d7d42b0b1ae7a19c1f6e4,3,6,True,False,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_math_q4__2130553a887aaf8a,math::math-59,pb_math_q4,pb_source_v2:9efbe99129d5c71001618f72,1,6,True,False,6,6,6,6,6,6,6,6,1,6,6,6,6,6,1,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
pb_math_q4__58b9177f00388f02,math::math-597,pb_math_q4,pb_source_v2:d0f75b2db01172cfe6b7e157,5,5,True,False,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
pb_math_q4__25366ceec51e8644,math::math-6,pb_math_q4,pb_source_v2:962e90b248bb5b1542348aa2,3,8,True,True,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
pb_math_q4__635b5d96681e0eff,math::math-60,pb_math_q4,pb_source_v2:ea036f3712ab0a58a952a2da,1,3,True,True,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_math_q4__c0a88552f3672faf,math::math-607,pb_math_q4,pb_source_v2:e56a0ed9d1e87e4d20404dc3,4,7,True,True,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_math_q4__af046e5ad26b610b,math::math-61,pb_math_q4,pb_source_v2:8b68ba1ed9f50fd8efc0fc2b,1,4,True,True,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_math_q4__26553397fd0293c5,math::math-618,pb_math_q4,pb_source_v2:1d65227ca503dadf496b51f6,6,10,True,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pb_math_q4__788b0f2aa198dfa3,math::math-619,pb_math_q4,pb_source_v2:efbf5711f4d37992b686fd32,1,8,True,True,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5
pb_math_q4__e5e1120dd98f65be,math::math-62,pb_math_q4,pb_source_v2:7ac67b1343eb82f5a1b18dc0,3,3,True,True,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_math_q4__34aa78bac146c075,math::math-620,pb_math_q4,pb_source_v2:4671af479911334fbf85a511,4,6,True,True,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_math_q4__83710c21038f648a,math::math-622,pb_math_q4,pb_source_v2:b517d1aed232fd6277327c20,4,14,True,True,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
pb_math_q4__728382ddfc430172,math::math-624,pb_math_q4,pb_source_v2:31a4dcdd5319f7bce196beba,2,4,True,True,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_math_q4__b3116575834d266a,math::math-626,pb_math_q4,pb_source_v2:dbe25f76577aa2277c03f3a0,1,6,True,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pb_math_q4__a2bf39f0dca8a447,math::math-63,pb_math_q4,pb_source_v2:02197c26e1e94b3f10e29838,2,10,True,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pb_math_q4__2c49ece118f1d15a,math::math-64,pb_math_q4,pb_source_v2:4cc7f8fed04d75caf2dd383d,2,5,True,True,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_math_q4__f444f3519515d081,math::math-640,pb_math_q4,pb_source_v2:d931bd16a8e0980899469894,8,9,True,False,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
pb_math_q4__255de3887adc8534,math::math-643,pb_math_q4,pb_source_v2:867c581ba1c9e127134e723e,1,5,False,True,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN
pb_math_q4__45e73447529f0b06,math::math-649,pb_math_q4,pb_source_v2:1cc0ba97a8180eda0781d239,2,5,True,False,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2
pb_math_q4__27afd1e6a334311d,math::math-65,pb_math_q4,pb_source_v2:f745fd13a9b796452a9976a1,9,16,True,False,12,14,13,12,12,14,13,9,14,14,14,9,14,12,14,14,12,12,14,14,14,12,14,14,14,12,14,14,14,14,14,14,12,13,14,12
pb_math_q4__0bffca53f05f0753,math::math-652,pb_math_q4,pb_source_v2:7687c31738475b19847a5a3b,3,8,True,True,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
pb_math_q4__02761951b8d66519,math::math-66,pb_math_q4,prmb_source_v2:e9cd07752dfbbfe15609d910,1,3,True,True,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
pb_math_q4__0443773db6448502,math::math-663,pb_math_q4,pb_source_v2:2aa5c9edf89b5875d1a10c9c,4,7,True,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
