cell,dataset,model,method,supervision,access,passes,profile_src,auroc,auroc_as_published,published_scale,role,same_model,verified_by,source_csv,source,paper_slug,paper_table,paper_columns,paper_evidence,caveat
sciq_llama8b,sciq,meta-llama/Llama-3.1-8B-Instruct,HCPD (arXiv 2606.12900),unsupervised,black-box,K (multi-sample),paper,0.8604,0.8604,0-1,anchor,SAME-MODEL,extracted,scores_lsml_upcr.csv,NO CITATION in scores_lsml_upcr.csv — that file carries published_Y/Y_method only,zero-source-llm-hallucination-detection-with-human-like-crit,Table 2,TriviaQA | SciQ | NQ Open | CoQA | Avg,Llama-3.1-8b block. HCPD 86.25|86.04|90.38; SemEntropy 78.71|77.81|61.04; TSV 79.78|80.01|70.17; SAPLMA 78.51|85.63|76.23; Perplexity 80.62|66.12|57.92. Caption: AUROC (%); the club glyph marks methods trained on fully labeled data.,
sciq_llama8b,sciq,meta-llama/Llama-3.1-8B-Instruct,HCPD,unsupervised,black-box,K (multi-sample),paper,0.8604,86.04,0-100,table,,extracted,published_baselines.csv,HCPD paper arXiv 2606.12900 Table 2,zero-source-llm-hallucination-detection-with-human-like-crit,Table 2,TriviaQA | SciQ | NQ Open | CoQA | Avg,Llama-3.1-8b block. HCPD 86.25|86.04|90.38; SemEntropy 78.71|77.81|61.04; TSV 79.78|80.01|70.17; SAPLMA 78.51|85.63|76.23; Perplexity 80.62|66.12|57.92. Caption: AUROC (%); the club glyph marks methods trained on fully labeled data.,the paper's own headline method; zero-source agentic multi-criteria probing
sciq_llama8b,sciq,meta-llama/Llama-3.1-8B-Instruct,Perplexity,unsupervised,grey-box,1,paper,0.6612,66.12,0-100,table,,extracted,published_baselines.csv,HCPD paper arXiv 2606.12900 Table 2,zero-source-llm-hallucination-detection-with-human-like-crit,Table 2,TriviaQA | SciQ | NQ Open | CoQA | Avg,Llama-3.1-8b block. HCPD 86.25|86.04|90.38; SemEntropy 78.71|77.81|61.04; TSV 79.78|80.01|70.17; SAPLMA 78.51|85.63|76.23; Perplexity 80.62|66.12|57.92. Caption: AUROC (%); the club glyph marks methods trained on fully labeled data.,baseline in HCPD's own table
sciq_llama8b,sciq,meta-llama/Llama-3.1-8B-Instruct,SAPLMA,supervised,white-box,1,paper,0.8563,85.63,0-100,table,,extracted,published_baselines.csv,HCPD paper arXiv 2606.12900 Table 2,zero-source-llm-hallucination-detection-with-human-like-crit,Table 2,TriviaQA | SciQ | NQ Open | CoQA | Avg,Llama-3.1-8b block. HCPD 86.25|86.04|90.38; SemEntropy 78.71|77.81|61.04; TSV 79.78|80.01|70.17; SAPLMA 78.51|85.63|76.23; Perplexity 80.62|66.12|57.92. Caption: AUROC (%); the club glyph marks methods trained on fully labeled data.,supervised baseline
sciq_llama8b,sciq,meta-llama/Llama-3.1-8B-Instruct,Semantic Entropy,unsupervised,black-box,K (sampled),paper,0.7781,77.81,0-100,table,,extracted,published_baselines.csv,HCPD paper arXiv 2606.12900 Table 2,zero-source-llm-hallucination-detection-with-human-like-crit,Table 2,TriviaQA | SciQ | NQ Open | CoQA | Avg,Llama-3.1-8b block. HCPD 86.25|86.04|90.38; SemEntropy 78.71|77.81|61.04; TSV 79.78|80.01|70.17; SAPLMA 78.51|85.63|76.23; Perplexity 80.62|66.12|57.92. Caption: AUROC (%); the club glyph marks methods trained on fully labeled data.,baseline in HCPD's own table
sciq_llama8b,sciq,meta-llama/Llama-3.1-8B-Instruct,TSV,supervised,white-box,1,paper,0.8001,80.01,0-100,table,,extracted,published_baselines.csv,HCPD paper arXiv 2606.12900 Table 2,zero-source-llm-hallucination-detection-with-human-like-crit,Table 2,TriviaQA | SciQ | NQ Open | CoQA | Avg,Llama-3.1-8b block. HCPD 86.25|86.04|90.38; SemEntropy 78.71|77.81|61.04; TSV 79.78|80.01|70.17; SAPLMA 78.51|85.63|76.23; Perplexity 80.62|66.12|57.92. Caption: AUROC (%); the club glyph marks methods trained on fully labeled data.,supervised baseline
se_nq_open_llama8b,nq_open,meta-llama/Llama-3.1-8B-Instruct,HCPD (arXiv 2606.12900),unsupervised,black-box,K (multi-sample),paper,0.9038,0.9037999999999999,0-1,anchor,SAME-MODEL,extracted,scores_lsml_upcr.csv,NO CITATION in scores_lsml_upcr.csv — that file carries published_Y/Y_method only,zero-source-llm-hallucination-detection-with-human-like-crit,Table 2,TriviaQA | SciQ | NQ Open | CoQA | Avg,Llama-3.1-8b block. HCPD 86.25|86.04|90.38; SemEntropy 78.71|77.81|61.04; TSV 79.78|80.01|70.17; SAPLMA 78.51|85.63|76.23; Perplexity 80.62|66.12|57.92. Caption: AUROC (%); the club glyph marks methods trained on fully labeled data.,
se_nq_open_llama8b,nq_open,meta-llama/Llama-3.1-8B-Instruct,HCPD,unsupervised,black-box,K (multi-sample),paper,0.9038,90.38,0-100,table,,extracted,published_baselines.csv,HCPD paper arXiv 2606.12900 Table 2,zero-source-llm-hallucination-detection-with-human-like-crit,Table 2,TriviaQA | SciQ | NQ Open | CoQA | Avg,Llama-3.1-8b block. HCPD 86.25|86.04|90.38; SemEntropy 78.71|77.81|61.04; TSV 79.78|80.01|70.17; SAPLMA 78.51|85.63|76.23; Perplexity 80.62|66.12|57.92. Caption: AUROC (%); the club glyph marks methods trained on fully labeled data.,the paper's own headline method; zero-source agentic multi-criteria probing
se_nq_open_llama8b,nq_open,meta-llama/Llama-3.1-8B-Instruct,Perplexity,unsupervised,grey-box,1,paper,0.5792,57.92,0-100,table,,extracted,published_baselines.csv,HCPD paper arXiv 2606.12900 Table 2,zero-source-llm-hallucination-detection-with-human-like-crit,Table 2,TriviaQA | SciQ | NQ Open | CoQA | Avg,Llama-3.1-8b block. HCPD 86.25|86.04|90.38; SemEntropy 78.71|77.81|61.04; TSV 79.78|80.01|70.17; SAPLMA 78.51|85.63|76.23; Perplexity 80.62|66.12|57.92. Caption: AUROC (%); the club glyph marks methods trained on fully labeled data.,baseline in HCPD's own table
se_nq_open_llama8b,nq_open,meta-llama/Llama-3.1-8B-Instruct,SAPLMA,supervised,white-box,1,paper,0.7623,76.23,0-100,table,,extracted,published_baselines.csv,HCPD paper arXiv 2606.12900 Table 2,zero-source-llm-hallucination-detection-with-human-like-crit,Table 2,TriviaQA | SciQ | NQ Open | CoQA | Avg,Llama-3.1-8b block. HCPD 86.25|86.04|90.38; SemEntropy 78.71|77.81|61.04; TSV 79.78|80.01|70.17; SAPLMA 78.51|85.63|76.23; Perplexity 80.62|66.12|57.92. Caption: AUROC (%); the club glyph marks methods trained on fully labeled data.,supervised baseline
se_nq_open_llama8b,nq_open,meta-llama/Llama-3.1-8B-Instruct,Semantic Entropy,unsupervised,black-box,K (sampled),paper,0.6104,61.04,0-100,table,,extracted,published_baselines.csv,HCPD paper arXiv 2606.12900 Table 2,zero-source-llm-hallucination-detection-with-human-like-crit,Table 2,TriviaQA | SciQ | NQ Open | CoQA | Avg,Llama-3.1-8b block. HCPD 86.25|86.04|90.38; SemEntropy 78.71|77.81|61.04; TSV 79.78|80.01|70.17; SAPLMA 78.51|85.63|76.23; Perplexity 80.62|66.12|57.92. Caption: AUROC (%); the club glyph marks methods trained on fully labeled data.,baseline in HCPD's own table
se_nq_open_llama8b,nq_open,meta-llama/Llama-3.1-8B-Instruct,TSV,supervised,white-box,1,paper,0.7017,70.17,0-100,table,,extracted,published_baselines.csv,HCPD paper arXiv 2606.12900 Table 2,zero-source-llm-hallucination-detection-with-human-like-crit,Table 2,TriviaQA | SciQ | NQ Open | CoQA | Avg,Llama-3.1-8b block. HCPD 86.25|86.04|90.38; SemEntropy 78.71|77.81|61.04; TSV 79.78|80.01|70.17; SAPLMA 78.51|85.63|76.23; Perplexity 80.62|66.12|57.92. Caption: AUROC (%); the club glyph marks methods trained on fully labeled data.,supervised baseline
se_squad_v2_llama8b,squad_v2,meta-llama/Llama-3.1-8B-Instruct,FEPoID (ALS ceiling),supervised,white-box,1,paper,0.6377,63.77,0-100,table,,extracted,published_baselines.csv,ALS paper arXiv 2605.26366 Table 2,automatic-layer-selection-for-hallucination-detection,Table 2 (w=7),CoQA | SQuAD | HotpotQA | TriviaQA | PsiloQA | Avg,"LlaMA-3.1-8B-Instruct block, reported as 0-1 decimals: Pred.Entropy .5703/.6859; SemEntropy .5518; Lexical .5988/.6838; FEPoID .6377/.7516.",SUPERVISED MLP-probe ceiling; same v1-vs-v2 caveat -- not a fair unsup comparison
se_squad_v2_llama8b,squad_v2,meta-llama/Llama-3.1-8B-Instruct,Lexical Similarity (ALS),unsupervised,black-box,10,paper,0.5988,59.88,0-100,table,,extracted,published_baselines.csv,ALS paper arXiv 2605.26366 Table 2,automatic-layer-selection-for-hallucination-detection,Table 2 (w=7),CoQA | SQuAD | HotpotQA | TriviaQA | PsiloQA | Avg,"LlaMA-3.1-8B-Instruct block, reported as 0-1 decimals: Pred.Entropy .5703/.6859; SemEntropy .5518; Lexical .5988/.6838; FEPoID .6377/.7516.",ALS's strongest unsupervised baseline; same v1-vs-v2 caveat
se_squad_v2_llama8b,squad_v2,meta-llama/Llama-3.1-8B-Instruct,Pred. Entropy (ALS),unsupervised,grey-box,10,paper,0.5703,57.03,0-100,table,,extracted,published_baselines.csv,ALS paper arXiv 2605.26366 Table 2,automatic-layer-selection-for-hallucination-detection,Table 2 (w=7),CoQA | SQuAD | HotpotQA | TriviaQA | PsiloQA | Avg,"LlaMA-3.1-8B-Instruct block, reported as 0-1 decimals: Pred.Entropy .5703/.6859; SemEntropy .5518; Lexical .5988/.6838; FEPoID .6377/.7516.","their SQuAD is v1 (Rajpurkar 2016, answerable-only) -- ours is v2 w/ unanswerables, not identical"
se_squad_v2_llama8b,squad_v2,meta-llama/Llama-3.1-8B-Instruct,Semantic Entropy (ALS),unsupervised,black-box,10,paper,0.5518,55.18,0-100,table,,extracted,published_baselines.csv,ALS paper arXiv 2605.26366 Table 2,automatic-layer-selection-for-hallucination-detection,Table 2 (w=7),CoQA | SQuAD | HotpotQA | TriviaQA | PsiloQA | Avg,"LlaMA-3.1-8B-Instruct block, reported as 0-1 decimals: Pred.Entropy .5703/.6859; SemEntropy .5518; Lexical .5988/.6838; FEPoID .6377/.7516.",same SQuAD v1-vs-v2 caveat as above
seiclr_triviaqa_opt30b,trivia_qa_rougel,facebook/opt-30b,Semantic Entropy (SE-ICLR'23),unsupervised,black-box,K (sampled),inferred,0.83,0.83,0-1,anchor,SAME-MODEL,extracted,scores_lsml_upcr.csv,NO CITATION in scores_lsml_upcr.csv — that file carries published_Y/Y_method only,zero-source-llm-hallucination-detection-with-human-like-crit,Table 2,TriviaQA | SciQ | NQ Open | CoQA | Avg,Llama-3.1-8b block. HCPD 86.25|86.04|90.38; SemEntropy 78.71|77.81|61.04; TSV 79.78|80.01|70.17; SAPLMA 78.51|85.63|76.23; Perplexity 80.62|66.12|57.92. Caption: AUROC (%); the club glyph marks methods trained on fully labeled data.,
semenergy_triviaqa_qwen3_8b,trivia_qa,Qwen/Qwen3-8B,Semantic Energy,unsupervised,grey-box,K (sampled),paper,0.748,0.748,0-1,anchor,SAME-MODEL,extracted,scores_lsml_upcr.csv,NO CITATION in scores_lsml_upcr.csv — that file carries published_Y/Y_method only,semantic-energy-detecting-llm-hallucination-beyond-entropy,Table 1,Semantic Entropy (AUROC/AUPR/FPR95) | Semantic Energy (AUROC/AUPR/FPR95),Qwen3-8B / TriviaQA row: SE 69.6% vs Semantic Energy 74.8%.,
spilled_triviaqa_llama8b,trivia_qa,meta-llama/Llama-3.1-8B-Instruct,HCPD (arXiv 2606.12900),unsupervised,black-box,K (multi-sample),paper,0.8625,0.8625,0-1,anchor,SAME-MODEL,extracted,scores_lsml_upcr.csv,NO CITATION in scores_lsml_upcr.csv — that file carries published_Y/Y_method only,zero-source-llm-hallucination-detection-with-human-like-crit,Table 2,TriviaQA | SciQ | NQ Open | CoQA | Avg,Llama-3.1-8b block. HCPD 86.25|86.04|90.38; SemEntropy 78.71|77.81|61.04; TSV 79.78|80.01|70.17; SAPLMA 78.51|85.63|76.23; Perplexity 80.62|66.12|57.92. Caption: AUROC (%); the club glyph marks methods trained on fully labeled data.,
spilled_triviaqa_llama8b,trivia_qa,meta-llama/Llama-3.1-8B-Instruct,FEPoID (ALS ceiling),supervised,white-box,1,paper,0.7516,75.16,0-100,table,,extracted,published_baselines.csv,ALS paper arXiv 2605.26366 Table 2,automatic-layer-selection-for-hallucination-detection,Table 2 (w=7),CoQA | SQuAD | HotpotQA | TriviaQA | PsiloQA | Avg,"LlaMA-3.1-8B-Instruct block, reported as 0-1 decimals: Pred.Entropy .5703/.6859; SemEntropy .5518; Lexical .5988/.6838; FEPoID .6377/.7516.",SUPERVISED MLP-probe ceiling (9k-example trained probe) -- not a fair unsup comparison
spilled_triviaqa_llama8b,trivia_qa,meta-llama/Llama-3.1-8B-Instruct,HARP,supervised,white-box,1,paper,0.928,92.8,0-100,table,,extracted,published_baselines.csv,HARP paper arXiv 2509.11536 (no confirmed venue),harp-hallucination-detection-via-reasoning-subspace-projecti,main results table,Single | NQ Open | TruthfulQA | TriviaQA | TyDiQA,"Qwen-2.5-7B-Instruct HARP TriviaQA 92.8; LLaMA-3.1-8B HARP TriviaQA 92.9. Detector trained with binary cross-entropy on hallucination labels (flag in {0,1}) -> SUPERVISED.","CORRECTED (Step 193): published_baselines.csv tagged HARP unsupervised, but the paper trains the detector with binary cross-entropy on hallucination labels. Also, 92.8 is the Qwen-2.5-7B-Instruct row; the LLaMA-3.1-8B row is 92.9, so the stored anchor was CROSS-MODEL. Treat as a supervised, cross-model reference. | orig note: 92.8 is HARP's Qwen-2.5-7B-Instruct row (cross-model vs our Llama-3.1-8B-Instruct cell) -- corrected Step 184, was wrongly called ""model unspecified"". The paper ALSO reports 92.9 for a ""LLaMA-3.1-8B"" backbone (closer to ours), but never states whether that backbone is instruct-tuned -- treat 92.9 as a possible, not confirmed, same-model anchor; both numbers logged here pending that check."
spilled_triviaqa_llama8b,trivia_qa,meta-llama/Llama-3.1-8B-Instruct,HCPD,unsupervised,black-box,K (multi-sample),paper,0.8625,86.25,0-100,table,,extracted,published_baselines.csv,HCPD paper arXiv 2606.12900 Table 2,zero-source-llm-hallucination-detection-with-human-like-crit,Table 2,TriviaQA | SciQ | NQ Open | CoQA | Avg,Llama-3.1-8b block. HCPD 86.25|86.04|90.38; SemEntropy 78.71|77.81|61.04; TSV 79.78|80.01|70.17; SAPLMA 78.51|85.63|76.23; Perplexity 80.62|66.12|57.92. Caption: AUROC (%); the club glyph marks methods trained on fully labeled data.,the paper's own headline method; zero-source agentic multi-criteria probing
spilled_triviaqa_llama8b,trivia_qa,meta-llama/Llama-3.1-8B-Instruct,Lexical Similarity (ALS),unsupervised,black-box,10,paper,0.6838,68.38,0-100,table,,extracted,published_baselines.csv,ALS paper arXiv 2605.26366 Table 2,automatic-layer-selection-for-hallucination-detection,Table 2 (w=7),CoQA | SQuAD | HotpotQA | TriviaQA | PsiloQA | Avg,"LlaMA-3.1-8B-Instruct block, reported as 0-1 decimals: Pred.Entropy .5703/.6859; SemEntropy .5518; Lexical .5988/.6838; FEPoID .6377/.7516.",ALS's strongest unsupervised baseline on TriviaQA
spilled_triviaqa_llama8b,trivia_qa,meta-llama/Llama-3.1-8B-Instruct,Perplexity,unsupervised,grey-box,1,paper,0.8062,80.62,0-100,table,,extracted,published_baselines.csv,HCPD paper arXiv 2606.12900 Table 2,zero-source-llm-hallucination-detection-with-human-like-crit,Table 2,TriviaQA | SciQ | NQ Open | CoQA | Avg,Llama-3.1-8b block. HCPD 86.25|86.04|90.38; SemEntropy 78.71|77.81|61.04; TSV 79.78|80.01|70.17; SAPLMA 78.51|85.63|76.23; Perplexity 80.62|66.12|57.92. Caption: AUROC (%); the club glyph marks methods trained on fully labeled data.,baseline in HCPD's own table
spilled_triviaqa_llama8b,trivia_qa,meta-llama/Llama-3.1-8B-Instruct,Pred. Entropy (ALS),unsupervised,grey-box,10,paper,0.6859,68.59,0-100,table,,extracted,published_baselines.csv,ALS paper arXiv 2605.26366 Table 2,automatic-layer-selection-for-hallucination-detection,Table 2 (w=7),CoQA | SQuAD | HotpotQA | TriviaQA | PsiloQA | Avg,"LlaMA-3.1-8B-Instruct block, reported as 0-1 decimals: Pred.Entropy .5703/.6859; SemEntropy .5518; Lexical .5988/.6838; FEPoID .6377/.7516.",independent paper/protocol from HCPD's rows above -- don't average across papers
spilled_triviaqa_llama8b,trivia_qa,meta-llama/Llama-3.1-8B-Instruct,SAPLMA,supervised,white-box,1,paper,0.7851,78.51,0-100,table,,extracted,published_baselines.csv,HCPD paper arXiv 2606.12900 Table 2,zero-source-llm-hallucination-detection-with-human-like-crit,Table 2,TriviaQA | SciQ | NQ Open | CoQA | Avg,Llama-3.1-8b block. HCPD 86.25|86.04|90.38; SemEntropy 78.71|77.81|61.04; TSV 79.78|80.01|70.17; SAPLMA 78.51|85.63|76.23; Perplexity 80.62|66.12|57.92. Caption: AUROC (%); the club glyph marks methods trained on fully labeled data.,supervised baseline
spilled_triviaqa_llama8b,trivia_qa,meta-llama/Llama-3.1-8B-Instruct,Semantic Entropy,unsupervised,black-box,K (sampled),paper,0.7871,78.71,0-100,table,,extracted,published_baselines.csv,HCPD paper arXiv 2606.12900 Table 2,zero-source-llm-hallucination-detection-with-human-like-crit,Table 2,TriviaQA | SciQ | NQ Open | CoQA | Avg,Llama-3.1-8b block. HCPD 86.25|86.04|90.38; SemEntropy 78.71|77.81|61.04; TSV 79.78|80.01|70.17; SAPLMA 78.51|85.63|76.23; Perplexity 80.62|66.12|57.92. Caption: AUROC (%); the club glyph marks methods trained on fully labeled data.,HCPD's own SE baseline (distinct run/protocol from the ALS SE row below -- don't average across papers)
spilled_triviaqa_llama8b,trivia_qa,meta-llama/Llama-3.1-8B-Instruct,TSV,supervised,white-box,1,paper,0.7978,79.78,0-100,table,,extracted,published_baselines.csv,HCPD paper arXiv 2606.12900 Table 2,zero-source-llm-hallucination-detection-with-human-like-crit,Table 2,TriviaQA | SciQ | NQ Open | CoQA | Avg,Llama-3.1-8b block. HCPD 86.25|86.04|90.38; SemEntropy 78.71|77.81|61.04; TSV 79.78|80.01|70.17; SAPLMA 78.51|85.63|76.23; Perplexity 80.62|66.12|57.92. Caption: AUROC (%); the club glyph marks methods trained on fully labeled data.,supervised baseline
truthfulqa_llama8b,truthfulqa,meta-llama/Llama-3.1-8B-Instruct,TSV (arXiv 2503.01917),supervised,white-box,1,inferred,0.842,0.8420000000000001,0-1,anchor,SAME-MODEL,extracted,scores_lsml_upcr.csv,NO CITATION in scores_lsml_upcr.csv — that file carries published_Y/Y_method only,zero-source-llm-hallucination-detection-with-human-like-crit,Table 2,TriviaQA | SciQ | NQ Open | CoQA | Avg,Llama-3.1-8b block. HCPD 86.25|86.04|90.38; SemEntropy 78.71|77.81|61.04; TSV 79.78|80.01|70.17; SAPLMA 78.51|85.63|76.23; Perplexity 80.62|66.12|57.92. Caption: AUROC (%); the club glyph marks methods trained on fully labeled data.,
