family,method,pool,description,origin,track_record,similar,macro,qa,math,cells,size_mean,size_median,size_min,size_max,size_cells,top_features,picks_subset,needs_anchor,scale,reproduces,macro_today,drift_pp,frac_size3,macro_spread_pp,cell_spread_pp,worst_cell_spread_pp,macro_eigen,macro_complete,role,status,step
a1_residual,a1.good5+K_ah+scale_complete,c46,"GOOD_5 with K (L-SML group count) chosen by the Ahn-Horenstein rank test instead of residual minimization. For each candidate subset: build the covariance, spectral-cluster it into K groups, measure the residual of that fit. Also includes a router between L-SML and U-PCR fusion based on which has the lower residual, and swapping the K-selection rule for the Ahn-Horenstein / Kritchman-Nadler rank tests. Same method, re-derived with L-SML's rank-one loading estimator set to scale S. 'unit' is the historical default and does not satisfy Lemma 1; 'complete' is the exact masked-completion fit. Only selectors whose objective calls L-SML are affected.","Jaffe, Nadler, Kluger — ""Estimating the Accuracies of Multiple Classifiers Without Labels"" (arXiv:1407.7644, 2014). Reuses the paper's own Eq-14 structural residual — how well a K-group rank-one covariance model fits a subset's correlation structure — but as a SELECTION criterion, which is not what the paper proposes it for (the paper uses it internally at fusion time; we search over subsets to minimize it).","Every variant scored BELOW GOOD_5 on the 25 in-scope cells (best: a1.router@good5 0.7494 vs GOOD_5 0.7519). Verdict: the residual objective is not admissible as a selection criterion — it is nearly orthogonal to separability (weakly ANTI-correlated with AUROC, Spearman ~ -0.11 to -0.17).","a1.good5+K_ah, a1.good5+K_kn, a1.minres+K_ah, a1.minres_exh_adapt, a1.minres_exh_s4",0.7393,0.7108,0.7582,25,5,5,5,5,25,"epr, spectral_entropy, low_band_power",yes,yes,complete,re-run today,0.7393,,0.0,,,,,,fs_selector_candidate,"corrected criterion, +0.02pp vs 'unit'",205
upcr,upcr.legacy,inscope,"What fusion_utils.upcr_fuse does today. U-PCR (Dror/Nadler/Bilal/Kluger 2017) estimates fusion weights by turning 'which feature do I trust' into one equation per feature pair, assuming features fail independently. It uses the whole pool — any reduction comes from its own label-free exclusion step, not from subset selection.","Dror, Nadler, Bilal & Kluger, Unsupervised Ensemble Regression, arXiv:1703.02965 (2017).",Step 204: every paper-faithful flag hurts or does nothing; the clustered variant fails both pre-registered gates; nothing reaches GOOD_6.,"upcr.legacy, upcr.faithful, upcr.clustered",0.7392,,,25,11.7,,,,25,— (no selection; exclusion only),no — uses all views,yes,n/a,re-run Step 204,0.7392,,0.0,,,,,,fs_selector_candidate,,204
a4_antigravity,a4.anchor_adapt,h16,"Anchor-affinity ranking. a4.recon: greedily add the feature that most reduces linear reconstruction error of the whole pool. a4.anchor: rank by |Spearman| correlation with the cell's anchor view (epr). Size chosen adaptively by the method's own rule, not fixed.","No single paper — classical building blocks: greedy Column Subset Selection (CSSP, linear-reconstruction greedy forward selection) and anchor-correlation ranking (a house heuristic, not from a specific paper).","a4.anchor-family was Step 187's best learned selector on H16 (0.6593) but Step 189 found it statistically indistinguishable from bare epr (25W/26L) — it just picks epr's most-correlated clones, high relevance / zero diversity. This finding motivated a5_mrmr (adds a redundancy term).","a4.anchor_s4, a4.anchor_s5, a4.anchor_s6, a4.good5+K_intrinsic_ah, a4.good5+K_intrinsic_kn, a4.intrinsic_k_ah, a4.recon_adapt",0.7391,0.6941,0.7691,25,3.5,3,3,8,25,"epr, sw_var_peak, cusum_max",yes,yes,unit,code fix: Step-205 exact small-m solve,0.7349,-0.42,0.8,0.0,0.0,0.0,0.7377,0.7414,fs_selector_candidate,,Step 186
a3_concrete_ae,a3.cae_k3,c46,"Concrete Autoencoder feature pick at a given bottleneck size. A concrete (Gumbel-softmax-relaxed) selector layer picks k of p features to minimize LINEAR RECONSTRUCTION error of the full feature set — entirely label-free, no correctness signal at all. Bottleneck / latent dimension N (Concrete Autoencoder).","Balin, Abid, Zou — ""Concrete Autoencoders: Differentiable Feature Selection and Reconstruction"" (ICML 2019, arXiv:1901.09346); reimplemented torch-CPU with a linear decoder (paper's canonical repo is Keras).","Best: a3.cae_k3 0.7388, below GOOD_5. Known risk (Step 151): reconstruction-good does not imply label-relevant — on z-scored unit-variance columns, a pure-noise feature is reconstructable only by selecting itself, so all its reconstruction value comes from predicting OTHER features, whether or not that tracks detection AUROC.","a3.cae, a3.cae_k4, a3.cae_k5, a3.cae_k6",0.7388,0.6964,0.7671,25,3,3,3,3,25,"spectral_centroid, mean_logprob_entropy, trace_length",yes,yes,unit,code fix: Step-205 exact small-m solve,0.7369,-0.2,1.0,0.0,0.0,0.0,0.734,0.7341,fs_selector_candidate,,Step 186
a5_mrmr,a5.mrmr_a0.7_adapt,c46,"mRMR, alpha=0.7 (strong redundancy penalty). Greedy: score(j|S) = relevance(j) - alpha * redundancy(j|S), relevance = |Spearman| with the anchor, redundancy = mean |Spearman| with already-picked features (reuses the cell's cached rho matrix, no recompute). alpha=0 reproduces a4.anchor exactly. Size chosen adaptively by the method's own rule, not fixed.","Peng, Long, Ding — ""Feature Selection Based on Mutual Information: Criteria of Max-Dependency, Max-Relevance, and Min-Redundancy"" (mRMR; IEEE TPAMI 27(8), 2005). Uses |Spearman| in place of mutual information (label-free relevance proxy against the anchor, not true MI).","Best: a5.mrmr_a0.7_adapt 0.7379, still below GOOD_5 — adding the redundancy term diversifies the picks (verified: alpha=0 clones near-identical features, alpha=0.7 spreads across the pool) but does not translate into a competitive AUROC.","a5.mrmr_a0.7_s4, a5.mrmr_a0.7_s5, a5.mrmr_a0.7_s6, a5.mrmr_a0.0_adapt, a5.mrmr_a0.0_s4, a5.mrmr_a0.0_s5, a5.mrmr_a0.0_s6",0.7379,0.6991,0.7638,25,8,8,8,8,25,"epr, mean_top1_logprob, mean_logprob_entropy",yes,yes,unit,verified,0.7379,0.0,0.0,0.0,0.0,0.0,0.7376,0.7381,fs_selector_candidate,,Step 189
a4_antigravity,a4.intrinsic_k_ah,h16,a4.recon's features with the intrinsic-dimension Ahn-Horenstein K rule. a4.recon: greedily add the feature that most reduces linear reconstruction error of the whole pool. a4.anchor: rank by |Spearman| correlation with the cell's anchor view (epr).,"No single paper — classical building blocks: greedy Column Subset Selection (CSSP, linear-reconstruction greedy forward selection) and anchor-correlation ranking (a house heuristic, not from a specific paper).","a4.anchor-family was Step 187's best learned selector on H16 (0.6593) but Step 189 found it statistically indistinguishable from bare epr (25W/26L) — it just picks epr's most-correlated clones, high relevance / zero diversity. This finding motivated a5_mrmr (adds a redundancy term).","a4.anchor_adapt, a4.anchor_s4, a4.anchor_s5, a4.anchor_s6",0.7379,0.6952,0.7663,25,4.1,4,4,5,25,"epr, sw_var_peak, cusum_max",yes,yes,unit,code fix: Step-189 K clamp,0.7416,0.37,0.0,0.0,0.0,0.0,0.7329,0.737,fs_selector_candidate,,Step 186
a2_groupfs,a2.groups@good5,c46,"GOOD_5's fixed features, fused with GroupFS's discovered group assignment — isolates the clustering's own value. GroupFS: Gumbel-softmax soft group assignment + per-group stochastic gates, trained against sample-graph smoothness + feature-graph smoothness + group sparsity (3-term loss). DUFS: per-feature stochastic gates trained against Laplacian-score sample smoothness alone. Both use the self-tuning kernel graph + t=2 random-walk diffusion.","GroupFS: Lifshitz, Lindenbaum, Mishne, Meir, Benisty — ""Unsupervised Feature Selection Through Group Discovery"" (AAAI 2026, arXiv:2511.09166); no official code, clean-room torch reimplementation. Its selection signal is replaced by DUFS: Lindenbaum, Shaham, Svirsky, Peterfreund, Kluger — ""Differentiable Unsupervised Feature Selection based on a Gated Laplacian"" (NeurIPS 2021, arXiv:2007.04728) — see a2.dufs below.","a2.dufs 0.7502, a2.select (GroupFS's own readout) 0.7481 — both just under GOOD_5 (0.7519). The 2026-07-23 fidelity audit found BOTH are faithful to their papers' equations, but GroupFS's own group-gate readout saturates open under our CPU budget, so selection was replaced with the DUFS per-feature signal (documented deviation) — meaning a2.select vs a2.dufs is really ""one gate mechanism, two readouts,"" not two different papers head to head. See results/advisor_inscope/fs_paper_fidelity.md for the full audit.","a2.dufs, a2.dufs_pf, a2.select, a2.select+groups",0.7378,0.6932,0.7675,25,5,5,5,5,25,"epr, spectral_entropy, low_band_power",no — fixed,yes,unit,not replayable,,,0.0,,,,,,fs_selector_candidate,,Step 186
a7_iter_consensus,a7.iter_consensus (anchor ON),inscope,"Iterative consensus selector with the orientation anchor step in place. Its own consensus target rebuilt per iteration; no `epr` anchor and no `GOOD_6` seeds, which is the whole point of the prior-free arm.","None — Extension H in-house design (Step 199 pivot), in the spirit of Jaffe/Nadler consensus estimation but with the target rebuilt each iteration.","It is not. Fixed and re-measured in Step 202: with the `epr` anchor 0.7378 (-2.16pp vs GOOD_6, W/L 8/17, p=0.0105); genuinely prior-free 0.6524 (-10.70pp, W/L 6/19, p=0.0010). Step 200's reported 0.6840 'prior-free' actually used the anchor, and the truly prior-free arm was 0.5103 (chance) before the fixes. Part of Extension H, closed as bounded.","a7_anchored, a7_prior_free",0.7378,0.7013,0.7621,25,,,,,0,—,yes,yes,unit,not audited,,,,,,,,,fs_selector_candidate,ANCHOR ABLATION — costs 8.5pp,202
a4_antigravity,a4.anchor_adapt,c46,"Anchor-affinity ranking. a4.recon: greedily add the feature that most reduces linear reconstruction error of the whole pool. a4.anchor: rank by |Spearman| correlation with the cell's anchor view (epr). Size chosen adaptively by the method's own rule, not fixed.","No single paper — classical building blocks: greedy Column Subset Selection (CSSP, linear-reconstruction greedy forward selection) and anchor-correlation ranking (a house heuristic, not from a specific paper).","a4.anchor-family was Step 187's best learned selector on H16 (0.6593) but Step 189 found it statistically indistinguishable from bare epr (25W/26L) — it just picks epr's most-correlated clones, high relevance / zero diversity. This finding motivated a5_mrmr (adds a redundancy term).","a4.anchor_s4, a4.anchor_s5, a4.anchor_s6, a4.good5+K_intrinsic_ah, a4.good5+K_intrinsic_kn, a4.intrinsic_k_ah, a4.recon_adapt",0.7366,0.6959,0.7637,25,8,8,8,8,25,"epr, mean_top1_logprob, mean_logprob_entropy",yes,yes,unit,verified,0.7366,0.0,0.0,0.0,0.0,0.0,0.7364,0.7366,fs_selector_candidate,,Step 186
a5_mrmr,a5.mrmr_a0.0_adapt,c46,"mRMR, alpha=0 (pure relevance, no redundancy penalty) — reproduces a4.anchor. Greedy: score(j|S) = relevance(j) - alpha * redundancy(j|S), relevance = |Spearman| with the anchor, redundancy = mean |Spearman| with already-picked features (reuses the cell's cached rho matrix, no recompute). alpha=0 reproduces a4.anchor exactly. Size chosen adaptively by the method's own rule, not fixed.","Peng, Long, Ding — ""Feature Selection Based on Mutual Information: Criteria of Max-Dependency, Max-Relevance, and Min-Redundancy"" (mRMR; IEEE TPAMI 27(8), 2005). Uses |Spearman| in place of mutual information (label-free relevance proxy against the anchor, not true MI).","Best: a5.mrmr_a0.7_adapt 0.7379, still below GOOD_5 — adding the redundancy term diversifies the picks (verified: alpha=0 clones near-identical features, alpha=0.7 spreads across the pool) but does not translate into a competitive AUROC.","a5.mrmr_a0.0_s4, a5.mrmr_a0.0_s5, a5.mrmr_a0.0_s6, a5.mrmr_a0.3_adapt, a5.mrmr_a0.3_s4, a5.mrmr_a0.3_s5, a5.mrmr_a0.3_s6",0.7366,0.6959,0.7637,25,8,8,8,8,25,"epr, mean_top1_logprob, mean_logprob_entropy",yes,yes,unit,verified,0.7366,0.0,0.0,0.0,0.0,0.0,0.7364,0.7366,fs_selector_candidate,,Step 189
a5_mrmr,a5.mrmr_a0.3_adapt,c46,"mRMR, alpha=0.3 (light redundancy penalty). Greedy: score(j|S) = relevance(j) - alpha * redundancy(j|S), relevance = |Spearman| with the anchor, redundancy = mean |Spearman| with already-picked features (reuses the cell's cached rho matrix, no recompute). alpha=0 reproduces a4.anchor exactly. Size chosen adaptively by the method's own rule, not fixed.","Peng, Long, Ding — ""Feature Selection Based on Mutual Information: Criteria of Max-Dependency, Max-Relevance, and Min-Redundancy"" (mRMR; IEEE TPAMI 27(8), 2005). Uses |Spearman| in place of mutual information (label-free relevance proxy against the anchor, not true MI).","Best: a5.mrmr_a0.7_adapt 0.7379, still below GOOD_5 — adding the redundancy term diversifies the picks (verified: alpha=0 clones near-identical features, alpha=0.7 spreads across the pool) but does not translate into a competitive AUROC.","a5.mrmr_a0.3_s4, a5.mrmr_a0.3_s5, a5.mrmr_a0.3_s6, a5.mrmr_a0.0_adapt, a5.mrmr_a0.0_s4, a5.mrmr_a0.0_s5, a5.mrmr_a0.0_s6",0.7366,0.6959,0.7637,25,8,8,8,8,25,"epr, mean_top1_logprob, mean_logprob_entropy",yes,yes,unit,verified,0.7366,0.0,0.0,0.0,0.0,0.0,0.7364,0.7366,fs_selector_candidate,,Step 189
a5_mrmr,a5.mrmr_a0.5_adapt,c46,"mRMR, alpha=0.5. Greedy: score(j|S) = relevance(j) - alpha * redundancy(j|S), relevance = |Spearman| with the anchor, redundancy = mean |Spearman| with already-picked features (reuses the cell's cached rho matrix, no recompute). alpha=0 reproduces a4.anchor exactly. Size chosen adaptively by the method's own rule, not fixed.","Peng, Long, Ding — ""Feature Selection Based on Mutual Information: Criteria of Max-Dependency, Max-Relevance, and Min-Redundancy"" (mRMR; IEEE TPAMI 27(8), 2005). Uses |Spearman| in place of mutual information (label-free relevance proxy against the anchor, not true MI).","Best: a5.mrmr_a0.7_adapt 0.7379, still below GOOD_5 — adding the redundancy term diversifies the picks (verified: alpha=0 clones near-identical features, alpha=0.7 spreads across the pool) but does not translate into a competitive AUROC.","a5.mrmr_a0.5_s4, a5.mrmr_a0.5_s5, a5.mrmr_a0.5_s6, a5.mrmr_a0.0_adapt, a5.mrmr_a0.0_s4, a5.mrmr_a0.0_s5, a5.mrmr_a0.0_s6",0.7366,0.6959,0.7638,25,8,8,8,8,25,"epr, mean_top1_logprob, mean_logprob_entropy",yes,yes,unit,verified,0.7366,0.0,0.0,0.0,0.0,0.0,0.7365,0.7366,fs_selector_candidate,,Step 189
a4_antigravity,a4.anchor_s5,h16,Anchor-affinity ranking. a4.recon: greedily add the feature that most reduces linear reconstruction error of the whole pool. a4.anchor: rank by |Spearman| correlation with the cell's anchor view (epr). Best subset of exactly size N found by this method.,"No single paper — classical building blocks: greedy Column Subset Selection (CSSP, linear-reconstruction greedy forward selection) and anchor-correlation ranking (a house heuristic, not from a specific paper).","a4.anchor-family was Step 187's best learned selector on H16 (0.6593) but Step 189 found it statistically indistinguishable from bare epr (25W/26L) — it just picks epr's most-correlated clones, high relevance / zero diversity. This finding motivated a5_mrmr (adds a redundancy term).","a4.anchor_adapt, a4.anchor_s4, a4.anchor_s6, a4.good5+K_intrinsic_ah, a4.good5+K_intrinsic_kn, a4.intrinsic_k_ah, a4.recon_adapt",0.7363,0.6922,0.7657,25,5,5,5,5,25,"epr, sw_var_peak, cusum_max",yes,yes,unit,within its own noise,0.7363,0.0,0.0,0.0,0.0,0.0,0.7383,0.7357,fs_selector_candidate,,Step 186
a5_mrmr,a5.mrmr_a0.0_s5,h16,"mRMR, alpha=0 (pure relevance, no redundancy penalty) — reproduces a4.anchor. Greedy: score(j|S) = relevance(j) - alpha * redundancy(j|S), relevance = |Spearman| with the anchor, redundancy = mean |Spearman| with already-picked features (reuses the cell's cached rho matrix, no recompute). alpha=0 reproduces a4.anchor exactly. Best subset of exactly size N found by this method.","Peng, Long, Ding — ""Feature Selection Based on Mutual Information: Criteria of Max-Dependency, Max-Relevance, and Min-Redundancy"" (mRMR; IEEE TPAMI 27(8), 2005). Uses |Spearman| in place of mutual information (label-free relevance proxy against the anchor, not true MI).","Best: a5.mrmr_a0.7_adapt 0.7379, still below GOOD_5 — adding the redundancy term diversifies the picks (verified: alpha=0 clones near-identical features, alpha=0.7 spreads across the pool) but does not translate into a competitive AUROC.","a5.mrmr_a0.0_adapt, a5.mrmr_a0.0_s4, a5.mrmr_a0.0_s6, a5.mrmr_a0.3_adapt, a5.mrmr_a0.3_s4, a5.mrmr_a0.3_s5, a5.mrmr_a0.3_s6",0.7363,0.6922,0.7657,25,5,5,5,5,25,"epr, sw_var_peak, cusum_max",yes,yes,unit,within its own noise,0.7363,0.0,0.0,0.0,0.0,0.0,0.7383,0.7357,fs_selector_candidate,,Step 189
simple_stats,random_s6,c46,"Random floor — the sanity check every real selector must beat. random (uniform draw, THE floor), mad (median-absolute-deviation rank), kurtosis (non-Gaussianity rank), decorrelation (greedy min mutual |Spearman|, no relevance term). Best subset of exactly size N found by this method.","No paper — deliberately naive floor, motivated by the Rajabinasab et al. 2026 guardrail finding that many unsupervised FS methods lose to random selection.","The sanity floor every real selector must clear. Variance-based selection is deliberately excluded: UnlabeledCell.V is z-scored per column (unit variance), so raw variance carries no signal here.","random_s4, random_s5, decorr_s4, decorr_s5, decorr_s6, kurtosis_s4",0.736,0.683,0.7714,25,6,6,6,6,25,"varentropy, cusum_max, spectral_entropy",yes,yes,unit,verified,0.736,0.0,0.0,0.0,0.0,0.0,0.7354,0.7303,fs_selector_candidate,FLOOR — the sanity check every selector must beat,Step 186
a5_mrmr,a5.mrmr_a0.3_s5,h16,"mRMR, alpha=0.3 (light redundancy penalty). Greedy: score(j|S) = relevance(j) - alpha * redundancy(j|S), relevance = |Spearman| with the anchor, redundancy = mean |Spearman| with already-picked features (reuses the cell's cached rho matrix, no recompute). alpha=0 reproduces a4.anchor exactly. Best subset of exactly size N found by this method.","Peng, Long, Ding — ""Feature Selection Based on Mutual Information: Criteria of Max-Dependency, Max-Relevance, and Min-Redundancy"" (mRMR; IEEE TPAMI 27(8), 2005). Uses |Spearman| in place of mutual information (label-free relevance proxy against the anchor, not true MI).","Best: a5.mrmr_a0.7_adapt 0.7379, still below GOOD_5 — adding the redundancy term diversifies the picks (verified: alpha=0 clones near-identical features, alpha=0.7 spreads across the pool) but does not translate into a competitive AUROC.","a5.mrmr_a0.3_adapt, a5.mrmr_a0.3_s4, a5.mrmr_a0.3_s6, a5.mrmr_a0.0_adapt, a5.mrmr_a0.0_s4, a5.mrmr_a0.0_s5, a5.mrmr_a0.0_s6",0.7358,0.6921,0.7649,25,5,5,5,5,25,"epr, sw_var_peak, cusum_max",yes,yes,unit,within its own noise,0.7358,0.0,0.0,0.0,0.0,0.0,0.7385,0.7347,fs_selector_candidate,,Step 189
a4_antigravity,a4.anchor_s6,c46,Anchor-affinity ranking. a4.recon: greedily add the feature that most reduces linear reconstruction error of the whole pool. a4.anchor: rank by |Spearman| correlation with the cell's anchor view (epr). Best subset of exactly size N found by this method.,"No single paper — classical building blocks: greedy Column Subset Selection (CSSP, linear-reconstruction greedy forward selection) and anchor-correlation ranking (a house heuristic, not from a specific paper).","a4.anchor-family was Step 187's best learned selector on H16 (0.6593) but Step 189 found it statistically indistinguishable from bare epr (25W/26L) — it just picks epr's most-correlated clones, high relevance / zero diversity. This finding motivated a5_mrmr (adds a redundancy term).","a4.anchor_adapt, a4.anchor_s4, a4.anchor_s5, a4.good5+K_intrinsic_ah, a4.good5+K_intrinsic_kn, a4.intrinsic_k_ah, a4.recon_adapt",0.7355,0.6957,0.7621,25,6,6,6,6,25,"epr, mean_logprob_entropy, renyi_entropy_2",yes,yes,unit,verified,0.7355,0.0,0.0,0.0,0.0,0.0,0.7355,0.7356,fs_selector_candidate,,Step 186
a5_mrmr,a5.mrmr_a0.0_s6,c46,"mRMR, alpha=0 (pure relevance, no redundancy penalty) — reproduces a4.anchor. Greedy: score(j|S) = relevance(j) - alpha * redundancy(j|S), relevance = |Spearman| with the anchor, redundancy = mean |Spearman| with already-picked features (reuses the cell's cached rho matrix, no recompute). alpha=0 reproduces a4.anchor exactly. Best subset of exactly size N found by this method.","Peng, Long, Ding — ""Feature Selection Based on Mutual Information: Criteria of Max-Dependency, Max-Relevance, and Min-Redundancy"" (mRMR; IEEE TPAMI 27(8), 2005). Uses |Spearman| in place of mutual information (label-free relevance proxy against the anchor, not true MI).","Best: a5.mrmr_a0.7_adapt 0.7379, still below GOOD_5 — adding the redundancy term diversifies the picks (verified: alpha=0 clones near-identical features, alpha=0.7 spreads across the pool) but does not translate into a competitive AUROC.","a5.mrmr_a0.0_adapt, a5.mrmr_a0.0_s4, a5.mrmr_a0.0_s5, a5.mrmr_a0.3_adapt, a5.mrmr_a0.3_s4, a5.mrmr_a0.3_s5, a5.mrmr_a0.3_s6",0.7355,0.6957,0.7621,25,6,6,6,6,25,"epr, mean_logprob_entropy, renyi_entropy_2",yes,yes,unit,verified,0.7355,0.0,0.0,0.0,0.0,0.0,0.7355,0.7356,fs_selector_candidate,,Step 189
a5_mrmr,a5.mrmr_a0.3_s6,c46,"mRMR, alpha=0.3 (light redundancy penalty). Greedy: score(j|S) = relevance(j) - alpha * redundancy(j|S), relevance = |Spearman| with the anchor, redundancy = mean |Spearman| with already-picked features (reuses the cell's cached rho matrix, no recompute). alpha=0 reproduces a4.anchor exactly. Best subset of exactly size N found by this method.","Peng, Long, Ding — ""Feature Selection Based on Mutual Information: Criteria of Max-Dependency, Max-Relevance, and Min-Redundancy"" (mRMR; IEEE TPAMI 27(8), 2005). Uses |Spearman| in place of mutual information (label-free relevance proxy against the anchor, not true MI).","Best: a5.mrmr_a0.7_adapt 0.7379, still below GOOD_5 — adding the redundancy term diversifies the picks (verified: alpha=0 clones near-identical features, alpha=0.7 spreads across the pool) but does not translate into a competitive AUROC.","a5.mrmr_a0.3_adapt, a5.mrmr_a0.3_s4, a5.mrmr_a0.3_s5, a5.mrmr_a0.0_adapt, a5.mrmr_a0.0_s4, a5.mrmr_a0.0_s5, a5.mrmr_a0.0_s6",0.7355,0.6951,0.7623,25,6,6,6,6,25,"epr, mean_logprob_entropy, renyi_entropy_2",yes,yes,unit,verified,0.7355,0.0,0.0,0.0,0.0,0.0,0.7354,0.7355,fs_selector_candidate,,Step 189
a5_mrmr,a5.mrmr_a0.5_s6,c46,"mRMR, alpha=0.5. Greedy: score(j|S) = relevance(j) - alpha * redundancy(j|S), relevance = |Spearman| with the anchor, redundancy = mean |Spearman| with already-picked features (reuses the cell's cached rho matrix, no recompute). alpha=0 reproduces a4.anchor exactly. Best subset of exactly size N found by this method.","Peng, Long, Ding — ""Feature Selection Based on Mutual Information: Criteria of Max-Dependency, Max-Relevance, and Min-Redundancy"" (mRMR; IEEE TPAMI 27(8), 2005). Uses |Spearman| in place of mutual information (label-free relevance proxy against the anchor, not true MI).","Best: a5.mrmr_a0.7_adapt 0.7379, still below GOOD_5 — adding the redundancy term diversifies the picks (verified: alpha=0 clones near-identical features, alpha=0.7 spreads across the pool) but does not translate into a competitive AUROC.","a5.mrmr_a0.5_adapt, a5.mrmr_a0.5_s4, a5.mrmr_a0.5_s5, a5.mrmr_a0.0_adapt, a5.mrmr_a0.0_s4, a5.mrmr_a0.0_s5, a5.mrmr_a0.0_s6",0.7355,0.6954,0.7623,25,6,6,6,6,25,"epr, mean_logprob_entropy, renyi_entropy_2",yes,yes,unit,verified,0.7355,0.0,0.0,0.0,0.0,0.0,0.7355,0.7355,fs_selector_candidate,,Step 189
a5_mrmr,a5.mrmr_a0.7_s6,c46,"mRMR, alpha=0.7 (strong redundancy penalty). Greedy: score(j|S) = relevance(j) - alpha * redundancy(j|S), relevance = |Spearman| with the anchor, redundancy = mean |Spearman| with already-picked features (reuses the cell's cached rho matrix, no recompute). alpha=0 reproduces a4.anchor exactly. Best subset of exactly size N found by this method.","Peng, Long, Ding — ""Feature Selection Based on Mutual Information: Criteria of Max-Dependency, Max-Relevance, and Min-Redundancy"" (mRMR; IEEE TPAMI 27(8), 2005). Uses |Spearman| in place of mutual information (label-free relevance proxy against the anchor, not true MI).","Best: a5.mrmr_a0.7_adapt 0.7379, still below GOOD_5 — adding the redundancy term diversifies the picks (verified: alpha=0 clones near-identical features, alpha=0.7 spreads across the pool) but does not translate into a competitive AUROC.","a5.mrmr_a0.7_adapt, a5.mrmr_a0.7_s4, a5.mrmr_a0.7_s5, a5.mrmr_a0.0_adapt, a5.mrmr_a0.0_s4, a5.mrmr_a0.0_s5, a5.mrmr_a0.0_s6",0.7355,0.6954,0.7622,25,6,6,6,6,25,"epr, mean_logprob_entropy, renyi_entropy_2",yes,yes,unit,verified,0.7355,0.0,0.0,0.0,0.0,0.0,0.7354,0.7355,fs_selector_candidate,,Step 189
a5_mrmr,a5.mrmr_a0.7_s5,c46,"mRMR, alpha=0.7 (strong redundancy penalty). Greedy: score(j|S) = relevance(j) - alpha * redundancy(j|S), relevance = |Spearman| with the anchor, redundancy = mean |Spearman| with already-picked features (reuses the cell's cached rho matrix, no recompute). alpha=0 reproduces a4.anchor exactly. Best subset of exactly size N found by this method.","Peng, Long, Ding — ""Feature Selection Based on Mutual Information: Criteria of Max-Dependency, Max-Relevance, and Min-Redundancy"" (mRMR; IEEE TPAMI 27(8), 2005). Uses |Spearman| in place of mutual information (label-free relevance proxy against the anchor, not true MI).","Best: a5.mrmr_a0.7_adapt 0.7379, still below GOOD_5 — adding the redundancy term diversifies the picks (verified: alpha=0 clones near-identical features, alpha=0.7 spreads across the pool) but does not translate into a competitive AUROC.","a5.mrmr_a0.7_adapt, a5.mrmr_a0.7_s4, a5.mrmr_a0.7_s6, a5.mrmr_a0.0_adapt, a5.mrmr_a0.0_s4, a5.mrmr_a0.0_s5, a5.mrmr_a0.0_s6",0.7354,0.6947,0.7625,25,5,5,5,5,25,"epr, mean_logprob_entropy, renyi_entropy_2",yes,yes,unit,verified,0.7354,0.0,0.0,0.0,0.0,0.0,0.7354,0.7354,fs_selector_candidate,,Step 189
a5_mrmr,a5.mrmr_a0.5_s5,c46,"mRMR, alpha=0.5. Greedy: score(j|S) = relevance(j) - alpha * redundancy(j|S), relevance = |Spearman| with the anchor, redundancy = mean |Spearman| with already-picked features (reuses the cell's cached rho matrix, no recompute). alpha=0 reproduces a4.anchor exactly. Best subset of exactly size N found by this method.","Peng, Long, Ding — ""Feature Selection Based on Mutual Information: Criteria of Max-Dependency, Max-Relevance, and Min-Redundancy"" (mRMR; IEEE TPAMI 27(8), 2005). Uses |Spearman| in place of mutual information (label-free relevance proxy against the anchor, not true MI).","Best: a5.mrmr_a0.7_adapt 0.7379, still below GOOD_5 — adding the redundancy term diversifies the picks (verified: alpha=0 clones near-identical features, alpha=0.7 spreads across the pool) but does not translate into a competitive AUROC.","a5.mrmr_a0.5_adapt, a5.mrmr_a0.5_s4, a5.mrmr_a0.5_s6, a5.mrmr_a0.0_adapt, a5.mrmr_a0.0_s4, a5.mrmr_a0.0_s5, a5.mrmr_a0.0_s6",0.7349,0.6941,0.762,25,5,5,5,5,25,"epr, mean_logprob_entropy, renyi_entropy_2",yes,yes,unit,verified,0.7349,0.0,0.0,0.0,0.0,0.0,0.7348,0.7349,fs_selector_candidate,,Step 189
a5_mrmr,a5.mrmr_a0.3_s5,c46,"mRMR, alpha=0.3 (light redundancy penalty). Greedy: score(j|S) = relevance(j) - alpha * redundancy(j|S), relevance = |Spearman| with the anchor, redundancy = mean |Spearman| with already-picked features (reuses the cell's cached rho matrix, no recompute). alpha=0 reproduces a4.anchor exactly. Best subset of exactly size N found by this method.","Peng, Long, Ding — ""Feature Selection Based on Mutual Information: Criteria of Max-Dependency, Max-Relevance, and Min-Redundancy"" (mRMR; IEEE TPAMI 27(8), 2005). Uses |Spearman| in place of mutual information (label-free relevance proxy against the anchor, not true MI).","Best: a5.mrmr_a0.7_adapt 0.7379, still below GOOD_5 — adding the redundancy term diversifies the picks (verified: alpha=0 clones near-identical features, alpha=0.7 spreads across the pool) but does not translate into a competitive AUROC.","a5.mrmr_a0.3_adapt, a5.mrmr_a0.3_s4, a5.mrmr_a0.3_s6, a5.mrmr_a0.0_adapt, a5.mrmr_a0.0_s4, a5.mrmr_a0.0_s5, a5.mrmr_a0.0_s6",0.7347,0.6936,0.762,25,5,5,5,5,25,"epr, mean_logprob_entropy, renyi_entropy_2",yes,yes,unit,verified,0.7347,0.0,0.0,0.0,0.0,0.0,0.7346,0.7347,fs_selector_candidate,,Step 189
